1,1996 World Champion,=PROMO,Christopher Rush,WUBRG,Special,Celebration Cards
39,AEther Storm,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=184722,Mark Tedin,Blue,U,Masters Edition II
24,AEther Tradewinds,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=382208,Kieran Yanner,Blue,C,Worldwake
89,AEther Tradewinds,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=382208,Kieran Yanner,Blue,C,Magic: The Gathering - Conspiracy
11,AEtherling,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=368961,Tyler Jacobson,Blue,R,Dragon's Maze
,Afterlife,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=389426,Pete Venters,White,U,Mirage
1,Afterlife,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=389426,Brian Snoddy,White,U,Mercadian Masques
2,Afterlife,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=389426,Brian Snoddy,White,U,Magic: The Gathering-Commander
10,Afterlife,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=389426,Brian Snoddy,White,C,Vintage Masters
64,Afterlife,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=389426,Brian Snoddy,White,U,Commander 2014
148,Agent of Horizons,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=373712,Clint Cearley,Green,C,Theros
127,Aggressive Mining,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=383179,Franz Vohwinkel,Red,R,Magic 2015 Core Set
3,Ainok Bond-Kin,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=386471,Chris Rahn,White,C,Khans of Tarkir
37,Air Elemental,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=221985,Brian Snoddy,Blue,U,Masters Edition IV
1,Ajani Steadfast,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=383180,Chris Rahn,White,M,Magic 2015 Core Set
91,Akki Blizzard-Herder,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=74428,Pete Venters,Red,C,Betrayers of Kamigawa
93,Akki Underling,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=79164,Franz Vohwinkel,Red,C,Saviors of Kamigawa
155,Akki Underminer,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=75399,Thomas M. Baxa,Red,U,Champions of Kamigawa
138,Akoum Firebird,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=401804,Chris Rahn,Red,M,Battle for Zendikar
130,Akroan Sergeant,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=398604,Zack Stella,Red,C,Magic Origins
,Akron Legionnaire,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=201117,Mark Poole,White,R,Fifth Edition
,Akron Legionnaire,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=201117,Mark Poole,White,R,Chronicles
,Akron Legionnaire,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=201117,Mark Poole,White,R,Legends
1,Akron Legionnaire,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=201117,Mark Poole,White,R,Masters Edition III
,Aladdin's Lamp,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=2014,Mark Tedin,,R,Fourth Edition
,Aladdin's Lamp,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=2014,Mark Tedin,,R,Revised Edition
,Aladdin's Lamp,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=2014,Mark Tedin,,R,Arabian Nights
,Alchor's Tomb,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=228270,Jesper Myrfors,,R,Legends
178,Alchor's Tomb,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=228270,Jesper Myrfors,,R,Masters Edition IV
,Ali from Cairo,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=202619,Mark Poole,Red,R,Arabian Nights
107,Ali from Cairo,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=202619,Mark Poole,Red,R,Masters Edition IV
121,Alive,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=369041,Nils Hamm,Green,U,Dragon's Maze
,All Hallow's Eve,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=201119,Christopher Rush,Black,R,Legends
57,All Hallow's Eve,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=201119,Christopher Rush,Black,R,Masters Edition III
166,Altar Golem,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=157974,Rob Alexander,,R,Eventide
103,Altar's Reap,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=401809,Tyler Jacobson,Black,C,Battle for Zendikar
,Ambush Party,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=2989,Mark Poole,Red,C,Homelands
,Ambush Party,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=2989,Mark Poole,Red,C,Homelands
,Amnesia,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=159828,Mark Poole,Blue,U,The Dark
29,Amnesia,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=159828,Mark Poole,Blue,R,Masters Edition
3,Amoeboid Changeling,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=207921,Nils Hamm,Blue,C,Premium Deck Series: Slivers
51,Amoeboid Changeling,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=207921,Nils Hamm,Blue,C,Lorwyn
74,Ana Sanctuary,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=26830,Rob Alexander,Green,U,Apocalypse
1,Ancestor's Chosen,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=130550,Pete Venters,White,U,Tenth Edition
1,Ancestor's Chosen,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=130550,Pete Venters,White,U,Judgment
,Ancestral Recall,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=692,Mark Poole,Blue,R,Unlimited Edition
,Ancestral Recall,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=692,Mark Poole,Blue,R,Limited Edition Beta
,Ancestral Recall,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=692,Mark Poole,Blue,R,Limited Edition Alpha
21,Ancestral Vision,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=393818,Mark Poole,Blue,R,Duel Decks: Jace vs. Chandra
48,Ancestral Vision,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=393818,Mark Poole,Blue,R,Time Spiral
266,Ancient Amphitheater,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=153454,Rob Alexander,,R,Lorwyn
,Ancient Craving,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=368540,Rob Alexander,Black,R,Portal Second Age
28,Ancient Craving,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=368540,Rob Alexander,Black,R,Duel Decks: Sorin vs. Tibalt
64,Ancient Craving,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=368540,Rob Alexander,Black,R,Starter 1999
130,Ancient Den,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=205275,Rob Alexander,,C,Planechase
278,Ancient Den,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=205275,Rob Alexander,,C,Mirrodin
2,Angel of Mercy,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=22952,Mark Tedin,White,U,Invasion
1,Angel of Retribution,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=32233,rk post,White,R,Torment
,An-Havva Inn,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=2961,Brian Snoddy,Green,U,Homelands
169,Animist's Awakening,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=398437,Chris Rahn,Green,R,Magic Origins
85,Annihilating Fire,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=270801,Clint Cearley,Red,C,Return to Ravnica
29,Annul,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=45976,Brian Snoddy,Blue,C,Mirrodin
45,Anticipate,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=401813,Lake Hurwitz,Blue,C,Dragons of Tarkir
69,Anticipate,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=401813,Tyler Jacobson,Blue,C,Battle for Zendikar
,Apocalypse Chime,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=2900,Mark Poole,,R,Homelands
51,Apprentice Necromancer,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=14442,Pete Venters,Black,R,Urza's Destiny
,Apprentice Sorcerer,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=6535,Christopher Rush,Blue,U,Portal Second Age
2,Araba Mothrider,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=74050,Anthony S. Waters,White,C,Saviors of Kamigawa
5,Arashin Cleric,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=391791,Chris Rahn,White,C,Fate Reforged
5,Arbalest Elite,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=220078,Chris Rahn,White,U,Magic 2012
95,Arbor Elf,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=249840,rk post,Green,C,Worldwake
160,Arbor Elf,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=249840,rk post,Green,C,Magic 2013
123,Arc Runner,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=204991,Nils Hamm,Red,C,Magic 2011
60,Arcane Laboratory,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=25562,Brian Snoddy,Blue,U,Seventh Edition
,Archangel,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=6514,rk post,White,R,Portal Second Age
,Archangel,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=6514,Christopher Rush,White,R,Visions
58,Archetype of Finality,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=378430,Chris Rahn,Black,U,Born of the Gods
26,Archivist,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=12390,Pete Venters,Blue,R,Urza's Legacy
,Arctic Foxes,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=2662,Mark Poole,White,C,Ice Age
27,Arcum Dagsson,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=122124,Pete Venters,Blue,R,Coldsnap
,Arena,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=109739,Rob Alexander,,S,Promo set for Gatherer
117,Arena,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=109739,Rob Alexander,,S,"Time Spiral ""Timeshifted"""
1,Arena,=PROMO,Rob Alexander,,Special,Media Inserts
28,Argent Sphinx,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=397887,Chris Rahn,Blue,R,Scars of Mirrodin
41,Argent Sphinx,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=397887,Chris Rahn,Blue,R,Modern Masters 2015 Edition
,Armageddon,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=386284,Rob Alexander,White,R,Portal Second Age
,Armageddon,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=386284,Jesper Myrfors,White,R,Fifth Edition
,Armageddon,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=386284,Jesper Myrfors,White,R,Fourth Edition
,Armageddon,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=386284,Jesper Myrfors,White,R,Revised Edition
,Armageddon,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=386284,Jesper Myrfors,White,R,Unlimited Edition
,Armageddon,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=386284,Jesper Myrfors,White,R,Limited Edition Beta
,Armageddon,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=386284,Jesper Myrfors,White,R,Limited Edition Alpha
1,Armageddon,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=386284,Chris Rahn,White,M,From the Vault: Annihilation (2014)
4,Armageddon,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=386284,Jesper Myrfors,White,R,Masters Edition
4,Armageddon,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=386284,Rob Alexander,White,R,Classic Sixth Edition
6,Armageddon,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=386284,Rob Alexander,White,R,Starter 1999
62,Armillary Sphere,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=376249,Franz Vohwinkel,,C,Duel Decks: Knights vs. Dragons
64,Armillary Sphere,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=376249,Franz Vohwinkel,,C,Duel Decks: Venser vs. Koth
108,Armillary Sphere,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=376249,Franz Vohwinkel,,C,Planechase 2012 Edition
134,Armillary Sphere,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=376249,Franz Vohwinkel,,C,Conflux
235,Armillary Sphere,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=376249,Franz Vohwinkel,,C,Commander 2013 Edition
242,Armillary Sphere,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=376249,Franz Vohwinkel,,C,Magic: The Gathering-Commander
,Armor Thrull,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=184684,Pete Venters,Black,C,Fallen Empires
77,Armor Thrull,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=184684,Pete Venters,Black,C,Masters Edition II
7,Armored Warhorse,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=222634,rk post,White,C,Magic 2012
,Army of Allah,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=970,Brian Snoddy,White,C,Arabian Nights
,Army of Allah,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=970,Brian Snoddy,White,C,Arabian Nights
,Artifact Blast,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=221551,Mark Poole,Red,C,Antiquities
85,Artifact Blast,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=221551,Mark Poole,Red,C,Masters Edition
108,Artifact Blast,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=221551,Mark Poole,Red,C,Masters Edition IV
,Artifact Possession,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=1036,Christopher Rush,Black,C,Antiquities
45,Artificer's Epiphany,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=398462,Kieran Yanner,Blue,C,Magic Origins
85,Artificer's Hex,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=370634,Franz Vohwinkel,Black,U,Magic 2014 Core Set
131,Artisan of Kozilek,=PROMO,Nils Hamm,9,Special,Friday Night Magic
174,Ashen Firebeast,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=29965,Mark Tedin,Red,R,Odyssey
187,Ashen Rider,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=373689,Chris Rahn,White/Black,M,Theros
,Ashnod's Battle Gear,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=2019,Mark Poole,,U,Fourth Edition
,Ashnod's Battle Gear,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=2019,Mark Poole,,U,Antiquities
,Ashnod's Transmogrant,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=159110,Mark Tedin,,C,Fifth Edition
,Ashnod's Transmogrant,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=159110,Mark Tedin,,C,Chronicles
,Ashnod's Transmogrant,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=159110,Mark Tedin,,U,Antiquities
152,Ashnod's Transmogrant,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=159110,Mark Tedin,,C,Masters Edition
173,Assault Formation,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394497,Kieran Yanner,Green,R,Dragons of Tarkir
213,Atarka's Command,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394502,Chris Rahn,Red/Green,R,Dragons of Tarkir
,Atog,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=202463,Jesper Myrfors,Red,U,Fifth Edition
,Atog,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=202463,Jesper Myrfors,Red,C,Revised Edition
,Atog,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=202463,Jesper Myrfors,Red,C,Antiquities
109,Atog,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=202463,Jesper Myrfors,Red,C,Masters Edition IV
232,Aura Mutation,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=23184,Pete Venters,White/Green,R,Invasion
144,Aurelia's Fury,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=366384,Tyler Jacobson,White/Red,M,Gatecrash
,Aurochs,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=184712,Ken Meyer Jr.,Green,C,Ice Age
153,Aurochs,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=184712,Ken Meyer Jr.,Green,C,Masters Edition II
,Avalanche,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=2607,Brian Snoddy,Red,U,Ice Age
131,Avaricious Dragon,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=398667,Chris Rahn,Red,M,Magic Origins
79,Avatar of Discord,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=220539,rk post,Black/Red,R,Archenemy
140,Avatar of Discord,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=220539,rk post,Black/Red,R,Dissension
29,Avatar of Discord,=PROMO,rk post,{B/R}{B/R}{B/R},Special,Prerelease Events
82,Avatar of Fury,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=247367,rk post,Red,R,Prophecy
110,Avatar of Fury,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=247367,rk post,Red,R,Magic: The Gathering-Commander
3,Avatar of Hope,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=24564,rk post,White,R,Prophecy
3,Avatar of Hope,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=24564,rk post,White,R,Promo set for Gatherer
11,Avatar of Hope,=PROMO,rk post,6WW,Special,Prerelease Events
109,Avatar of Might,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=135249,rk post,Green,R,Prophecy
251,Avatar of Might,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=135249,rk post,Green,R,Tenth Edition
30,Avatar of Will,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=24590,rk post,Blue,R,Prophecy
6,Avatar of Woe,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=270448,rk post,Black,R,Premium Deck Series: Graveborn
9,Avatar of Woe,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=270448,rk post,Black,R,Archenemy
37,Avatar of Woe,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=270448,rk post,Black,S,"Time Spiral ""Timeshifted"""
56,Avatar of Woe,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=270448,rk post,Black,R,Prophecy
73,Avatar of Woe,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=270448,rk post,Black,R,Magic: The Gathering-Commander
4,Avatar of Woe,=PROMO,rk post,6BB,Special,Pro Tour
69,Aven Fateshaper,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=40655,Anthony S. Waters,Blue,U,Onslaught
4,Aven Liberator,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=43626,Brian Snoddy,White,C,Scourge
4,Aven Trailblazer,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=180278,Chris Rahn,White,C,Conflux
122,"Ayumi, the Last Visitor",http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=84370,rk post,Green,R,Saviors of Kamigawa
6,Azorius Justiciar,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=270795,Chris Rahn,White,U,Return to Ravnica
,Backdraft,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=1558,Brian Snoddy,Red,U,Legends
,Backfire,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=2145,Brian Snoddy,Blue,U,Fourth Edition
,Backfire,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=2145,Brian Snoddy,Blue,U,Legends
70,Backslide,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=26592,Pete Venters,Blue,C,Onslaught
49,Bad Ass,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=74350,Thomas M. Baxa,Black,C,Unhinged
,Bad Moon,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=108818,Jesper Myrfors,Black,R,Fourth Edition
,Bad Moon,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=108818,Jesper Myrfors,Black,R,Revised Edition
,Bad Moon,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=108818,Jesper Myrfors,Black,R,Unlimited Edition
,Bad Moon,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=108818,Jesper Myrfors,Black,R,Limited Edition Beta
,Bad Moon,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=108818,Jesper Myrfors,Black,R,Limited Edition Alpha
38,Bad Moon,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=108818,Jesper Myrfors,Black,S,"Time Spiral ""Timeshifted"""
,Badlands,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=202626,Rob Alexander,,R,Revised Edition
,Badlands,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=202626,Rob Alexander,,R,Unlimited Edition
,Badlands,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=202626,Rob Alexander,,R,Limited Edition Beta
,Badlands,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=202626,Rob Alexander,,R,Limited Edition Alpha
225,Badlands,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=202626,Rob Alexander,,R,Masters Edition II
241,Badlands,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=202626,Rob Alexander,,R,Masters Edition IV
,Balance,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=202501,Mark Poole,White,R,Fourth Edition
,Balance,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=202501,Mark Poole,White,R,Revised Edition
,Balance,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=202501,Mark Poole,White,R,Unlimited Edition
,Balance,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=202501,Mark Poole,White,R,Limited Edition Beta
,Balance,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=202501,Mark Poole,White,R,Limited Edition Alpha
6,Balance,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=202501,Mark Poole,White,R,Masters Edition IV
,Balduvian Barbarians,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=16445,Mark Poole,Red,C,Ice Age
166,Balduvian Barbarians,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=16445,Mark Poole,Red,C,Classic Sixth Edition
,Balduvian Conjurer,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=184603,Mark Tedin,Blue,U,Ice Age
40,Balduvian Conjurer,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=184603,Mark Tedin,Blue,C,Masters Edition II
,Balduvian Horde,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=159086,Brian Snoddy,Red,R,Beatdown Box Set
,Balduvian Horde,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=159086,Brian Snoddy,Red,R,Alliances
86,Balduvian Horde,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=159086,Brian Snoddy,Red,R,Masters Edition
167,Balduvian Horde,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=159086,Brian Snoddy,Red,R,Classic Sixth Edition
82,Baleful Strix,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=382855,Nils Hamm,Blue/Black,U,Planechase 2012 Edition
